group,gene,rank,score,q,log2fc_default,log2fc_arithmetic,fraction_expressing,mean_normalized_count
11,CD3E,23414,-16.308878416345614,7.516495301898606e-58,-3.4943836014387077,-3.64512547750972,0.06256860592755215,0.08967843623148959
11,TRAC,23401,-13.449924357220128,2.0055295148529602e-39,-2.3254277508635495,-2.6227193801811692,0.14928649835345773,0.2228516648201082
11,CD8A,23184,-6.031909676590647,3.401393453419779e-08,-3.844189496951147,-4.144817959888171,0.014270032930845226,0.01802177337435408
11,CD8B,23174,-5.920944299661711,6.53787461057376e-08,-3.7718117714553525,-4.077253404340694,0.01646542261251372,0.024244727553430986
11,MS4A1,7,45.219332539044544,0.0,4.936771512040005,3.6058329892699157,0.9637760702524698,5.614827577723521
11,CD79A,2,47.04989091229179,0.0,5.094500790629587,3.8082325758229394,0.986827661909989,7.6007689076920775
11,CD14,23044,-4.687529177195554,4.220267783392765e-05,-4.919330449810908,-5.825334558019106,0.007683863885839737,0.00757440413342382
11,LYZ,23161,-5.80083448961218,1.3056141419451095e-07,-2.1545598516838247,-4.566613299480101,0.20087815587266739,0.2535438783367529
11,FCER1A,20855,-1.1485816418508037,0.9999211711127847,-3.0544332816629716,-3.8590246406577156,0.0043907793633369925,0.004980426333693689
11,CLEC10A,19186,-0.5500123856020074,0.9999211711127847,-2.3755823595681536,-3.0678992781215775,0.0043907793633369925,0.003998682756000331
12,NKG7,4,47.58238088383364,0.0,4.9275207288276475,3.33547809328617,0.8776923076923077,13.21835657970694
12,KLRF1,2805,1.6526592158852655,0.4916234597160451,0.40688554285640904,-0.04329195911311815,0.06615384615384616,0.1391033738264649
12,TRDC,2051,2.7996393798054244,0.03988415556108921,1.6588260457195954,1.8817901498094016,0.08,0.41024442176576736
12,SH2D1B,19783,-0.7731425310425966,0.9999068431586343,-1.467811170336747,-1.526876794517179,0.006923076923076923,0.012379256942275547
12,GNLY,282,15.799166345999144,2.546741248560702e-54,2.602958952692703,1.8171267687986377,0.36153846153846153,6.600141300321297
12,KLRD1,154,19.905235666309792,5.576292519433793e-86,2.8990896359588647,2.25115148907612,0.39692307692307693,1.4659177860603005
12,PRF1,64,26.353736122492634,1.702308782543897e-150,2.7972455966965017,1.9050842049048806,0.5323076923076923,1.672139059680014
12,FCGR3A,957,6.930208074404482,8.774102108859824e-11,1.5917050608658945,1.0480191715907385,0.16692307692307692,0.419371473836736
12,CD3D,10,43.415686390945304,0.0,2.881419490175626,2.1238334903830487,0.9407692307692308,5.388318870892659
12,CD3E,19,36.45583738794527,6.855343984209268e-288,2.342076786219856,1.754974929557561,0.8669230769230769,3.0482710558764716
12,TRAC,15,37.17317953639036,2.8915636899317464e-299,2.439953542440364,1.825971711182537,0.8769230769230769,3.8925803969254718
12,CD8A,37,31.031034179429184,1.302219102591827e-208,3.587176406558823,3.247357240844596,0.5876923076923077,1.7441789801933492
12,CD8B,83,24.38400461432335,7.135246419127535e-129,2.896624038066337,2.5639344745097965,0.49846153846153846,1.6717117298717652
12,MS4A1,23069,-4.8889200913741515,1.4005179792552215e-05,-2.0840532279567503,-2.820067155679902,0.06384615384615384,0.1116284136259727
12,CD79A,23374,-9.826047020507705,2.8857542571904278e-21,-4.374819717093835,-5.165052736226277,0.02076923076923077,0.027693168216108694
12,CD14,23121,-5.2846261948244875,1.9001317479932064e-06,-3.794707662046983,-4.511552148606817,0.013846153846153847,0.01924425947275878
12,LYZ,23351,-8.715480089173514,8.074759469871402e-17,-2.241332574895134,-4.458629796590066,0.16692307692307692,0.2796193012831565
12,FCER1A,21392,-1.5243491324427882,0.6021997062075255,-4.081668906473454,-4.882954011070646,0.002307692307692308,0.002512512691345607
12,CLEC10A,19700,-0.749869152019668,0.9999068431586343,-2.713173294731,-3.231490742934382,0.003076923076923077,0.0036507852221915726
13,NKG7,21517,-4.921586926940721,8.272714244219996e-06,-2.1296975286448343,-2.9596300801098385,0.08814102564102565,0.29451137858096654
13,KLRF1,15528,-0.9982872132210784,0.8396152311330106,-2.2108740693558486,-2.7607276376350662,0.017628205128205128,0.021782108636023347
13,TRDC,15235,-0.9090585651190287,0.9257645416111366,-2.2382646651023252,-2.966154309630027,0.017628205128205128,0.017729414462516746
13,SH2D1B,11593,-0.20377294563309906,0.9995263619378608,-1.5513016485063564,-2.0423613364894218,0.014423076923076924,0.0084632968283229
