method,group,gene,score,log10_two_sided_p
default,1,ANXA5,48.375626774390355,-509.9511200688647
default,1,NAIP,41.3512534653095,-373.020550790804
default,1,VCAN,57.44387809732544,-718.3997121641635
default,1,GLRX,38.74665614041625,-327.69046586878596
default,1,CAST,40.22448505655971,-353.049051625245
default,1,H2AFY,43.487039507416654,-412.3887051306797
default,1,CD14,52.56500145533299,-601.8139771178892
default,1,CD74,39.67579135662459,-343.52319013488807
default,1,DUSP1,41.297871620860825,-372.061944901113
default,1,RNF130,50.69347093916416,-559.8342398211523
default,1,SERPINB1,46.779358465458856,-476.9534391647026
default,1,LST1,59.10353559700367,-760.4146024932627
default,1,AIF1,58.74832379043237,-751.3216874639368
default,1,CLIC1,39.4815424666494,-340.1821566937662
default,1,HLA-DRA,40.48484401577163,-357.6148513350881
default,1,HLA-DRB1,38.69694972133522,-326.854012899522
default,1,CNPY3,39.050210445285614,-332.8219072386307
default,1,RAB32,42.03802335083849,-385.46355453820155
default,1,SOD2,44.55252656647214,-432.7687077197784
default,1,ACTB,60.11799778659872,-786.6850226542648
default,1,RAC1,48.05471987100304,-503.2285750261831
default,1,SKAP2,38.379838611396906,-321.5429516772606
default,1,CPVL,48.15853034302082,-505.3983656407995
default,1,NCF1,39.2514658772983,-336.24608153360515
default,1,FGL2,56.68194814239702,-699.511686085427
default,1,CD36,44.48548994293481,-431.4719442307462
default,1,BRI3,52.60456056523066,-602.7177260764635
default,1,ARPC1B,50.31121270463989,-551.4469279628105
default,1,LAMTOR4,40.22641374511897,-353.08276601529246
default,1,GNB2,39.48641317505741,-340.26573151786283
default,1,NAMPT,52.08179918868163,-590.8297950523278
default,1,ZYX,41.40331685937876,-373.9566719809962
default,1,CTSB,46.72286104718368,-475.80580541172554
default,1,ASAH1,46.68703054855006,-475.07869744639453
default,1,RAB11FIP1,45.93797158055269,-460.0056590276321
default,1,CEBPD,54.703900272008944,-651.6529692218863
default,1,SDCBP,41.0843330460353,-368.2396899373636
default,1,PABPC1,46.990542864553845,-481.2555040015723
default,1,GLIPR2,37.83800869135629,-312.56923176132165
default,1,ZFAND5,42.82732444761375,-400.0170828031545
default,1,ANXA1,52.17152659518178,-592.8618199946277
default,1,SYK,39.8988138165572,-347.37931707961883
default,1,KLF4,51.918669646621275,-587.1444115099932
default,1,MEGF9,46.08561562898483,-462.9573733044053
default,1,NUP214,39.879389767336995,-347.0426110790275
default,1,FCN1,58.5935108430158,-747.3758377311254
default,1,KLF6,40.741586334027716,-362.1460389429324
default,1,VIM,58.170414237822335,-736.6450929437949
default,1,SRGN,56.67743293971765,-699.4005067402647
default,1,VSIR,48.3434297122588,-509.27461957496996
default,1,PSAP,58.61961951963735,-748.0405623897288
default,1,PTPRE,41.65508489669173,-378.5001656701193
default,1,TALDO1,45.84331748049042,-458.11830280340286
default,1,CTSD,52.349469809020974,-596.901976198748
default,1,RHOG,38.69400210297107,-326.8044444518233
default,1,TPP1,39.06067407058971,-332.9995028819743
default,1,CD44,38.33282787748652,-320.7593179463518
default,1,SPI1,52.055021489468416,-590.2240471321685
default,1,MPEG1,51.488611287513606,-577.484010927588
default,1,MS4A6A,53.72677178243549,-628.6382450713346
default,1,FTH1,49.19261532913319,-527.2676579188632
default,1,AHNAK,38.514830014999056,-323.79848871767217
default,1,RTN3,40.964006953553586,-366.0946193082969
default,1,NEAT1,51.160174380897814,-570.1604078711208
default,1,CFL1,39.39176467351055,-338.6435341576069
default,1,GSTP1,49.88383603441433,-542.1447582503461
default,1,LAMTOR1,38.71444228273847,-327.14825310039936
default,1,CASP1,40.23184990358354,-353.17780132997973
default,1,JAML,44.565123226148025,-433.0125965418428
default,1,APLP2,51.56905075694607,-579.284818083305
default,1,GAPDH,56.395819216745956,-692.4837296857553
default,1,TPI1,38.57961043682555,-324.8836965943327
default,1,CLEC12A,46.72631253193487,-475.87587578631906
default,1,CLEC7A,40.152639308283895,-351.79430414998336
default,1,PLBD1,48.261377870387825,-507.55264262452346
default,1,LRRK2,42.87799101208784,-400.9605345834416
default,1,DAZAP2,39.28219332913433,-336.7704274684534
default,1,CD63,39.17710079708731,-334.97878103114664
default,1,MYL6,47.44227587607715,-490.5228138875415
default,1,IRAK3,46.11536613988156,-463.55329390475697
default,1,LYZ,62.57121685328036,-852.0601245984986
default,1,AC020656.1,60.5106804568192,-796.973851007073
default,1,GLIPR1,42.48291497652894,-393.63343481622474
default,1,LTA4H,42.91737656800776,-401.69469475046554
default,1,ARPC3,42.65337577452066,-396.78649963500123
default,1,ALDH2,42.413056701224214,-392.3448887351913
default,1,RILPL2,38.532493331122346,-324.09420569518863
default,1,LCP1,46.39372432614145,-469.14759038744944
default,1,KCTD12,48.066835058353526,-503.4815590256563
default,1,TNFSF13B,49.313797994472864,-529.8608707631779
default,1,NPC2,41.414152785957725,-374.1516543030136
default,1,FOS,46.02726790136616,-461.7897489632783
default,1,SERPINA1,48.17694665946696,-505.78378215623087
default,1,TNFAIP2,43.87628188991677,-419.77677316101614
default,1,ATP5MPL,41.42973625360565,-374.43215351665526
default,1,SERF2,43.86492810066224,-419.5603398406536
default,1,DMXL2,38.5135395571967,-323.7768893459813
default,1,ANXA2,52.82124270645975,-607.6799974353963
default,1,PKM,47.73412368522106,-496.55717903700344
default,1,CTSH,47.07707631801173,-483.0238799631596
default,1,IQGAP1,41.86432941019663,-382.2971999659889
default,1,ATP6V0C,42.61115457054481,-396.00434620209205
default,1,CPPED1,37.8272035566121,-312.39157421710723
default,1,METTL9,42.30281073574091,-390.31569505020605
default,1,IGSF6,49.542251014354626,-534.766921646827
default,1,PYCARD,51.35744087067981,-574.5535096085038
default,1,ATP6V0D1,40.31250771511705,-354.5893739897545
default,1,COTL1,58.349852255276396,-741.1865802372165
default,1,CYBA,50.0167475895411,-545.0291813855898
default,1,ARRB2,42.200411089606824,-388.4356468901387
default,1,PFN1,39.37576971497989,-338.3697777897216
default,1,RNASEK,42.666725434519385,-397.0339648692084
default,1,GABARAP,54.345875211443364,-643.1721368836126
default,1,TNFSF13,44.01276809713379,-422.3829414332899
default,1,EIF4A1,47.25084024009623,-486.58469313262526
default,1,CD68,48.93630409656379,-521.8038026056769
default,1,EVI2B,43.01232179087143,-403.4672740315067
default,1,GRN,57.8929658103168,-729.6505287268362
default,1,SCPEP1,40.55945822991842,-358.9287517657629
default,1,VMP1,43.94368521621355,-421.06281136409706
default,1,TIMP2,42.526558203419306,-394.43951556439436
default,1,ACTG1,37.86903006525143,-313.0795653653096
default,1,RAB31,42.65848721909136,-396.88124233458643
default,1,CFD,48.793189247099555,-518.7653927615182
default,1,OAZ1,51.175480722032866,-570.5006737478939
default,1,STXBP2,48.11185552003512,-504.4222147735612
default,1,TRAPPC5,38.0921309043998,-316.7621069489333
default,1,PRAM1,40.22540041382949,-353.0650523028279
default,1,MYO1F,44.64614214192558,-434.58288140391073
default,1,AC020916.1,50.73323719413206,-560.7104131723169
default,1,IFI30,55.95664087603295,-681.7656908453945
default,1,TYROBP,58.85478795875521,-754.0412691563762
default,1,CAPNS1,37.93047657115037,-314.0916567160432
default,1,ZFP36,45.843527424818355,-458.1224846865369
